model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability
dinov2_vitb14,axis_Z,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5635102832240064,0.6215448647613907,0.12124986461290066,32,True,0.039754911445925536
dinov2_vitb14,axis_Z,32,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5635102832240064,0.6215448647613907,0.12124986461290066,32,True,0.039754911445925536
dinov2_vitb14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5222365597314916,0.6186661446737839,0.22302858632289002,150,True,0.04503312453956821
dinov2_vitb14,multi_axes_average,95,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.5222365597314916,0.6186661446737839,0.22302858632289002,150,True,0.04503312453956821
dinov2_vitg14,multi_axes_average,none,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5852460240360365,0.6173563597190951,0.292042096760472,120,True,0.04981268830690005
dinov2_vitg14,multi_axes_average,95,logistic,"{'C': 1, 'l1_ratio': 1.0}",0.5852460240360365,0.6173563597190951,0.292042096760472,120,True,0.04981268830690005
dinov2_vitb14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5147661489837871,0.6168518539528342,0.1820741100235812,256,True,0.04503503754032171
dinov2_vitb14,multi_axes_average,256,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5147661489837871,0.6168518539528342,0.1820741100235812,256,True,0.04503503754032171
dinov2_vitb14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5321434524081774,0.6150074850455252,0.3152659653918932,2304,True,0.03976343988948281
dinov2_vitg14,multi_axes_average,none,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.5547534888049509,0.6117416584107634,0.1160016974129986,32,True,0.039788551973873154
